year,countrycode,countryname,region,incomegroup,value,growth,time_span
2011,LKA,Sri Lanka,SAS,Lower middle income,5.590327746,-1.0367736092662172,6
2017,LKA,Sri Lanka,SAS,Lower middle income,5.251463415,-1.0367736092662172,6
2011,LSO,Lesotho,SSA,Lower middle income,14.29318735,1.7609506331629499,6
2017,LSO,Lesotho,SSA,Lower middle income,15.87142857,1.7609506331629499,6
2011,LTU,Lithuania,ECA,High income,7.797600318,-1.6193380182447648,6
2017,LTU,Lithuania,ECA,High income,7.07,-1.6193380182447648,6
2011,LVA,Latvia,ECA,High income,4.251785714,3.0915848599539997,6
2017,LVA,Latvia,ECA,High income,5.104,3.0915848599539997,6
2011,MAR,Morocco,MNA,Lower middle income,8.469922137,-3.639067202128621,6
2017,MAR,Morocco,MNA,Lower middle income,6.780869565,-3.639067202128621,6
2011,MDA,Moldova,ECA,Lower middle income,7.720627491,-4.834367757798774,6
2017,MDA,Moldova,ECA,Lower middle income,5.735,-4.834367757798774,6
2016,MDG,Madagascar,SSA,Low income,9.081809221,-12.770684703639857,1
2017,MDG,Madagascar,SSA,Low income,7.922,-12.770684703639857,1
2011,MEX,Mexico,LAC,Upper middle income,5.966,-4.701502981789451,6
2017,MEX,Mexico,LAC,Upper middle income,4.468888889,-4.701502981789451,6
2016,MKD,North Macedonia,ECA,Upper middle income,10.19818182,2.273132447446402,1
2017,MKD,North Macedonia,ECA,Upper middle income,10.43,2.273132447446402,1
2011,MLI,Mali,SSA,Low income,11.23276583,-12.473078135563153,6
2017,MLI,Mali,SSA,Low income,5.050526316,-12.473078135563153,6
2016,MMR,Myanmar,EAP,Lower middle income,7.358977211,64.89445614618306,1
2017,MMR,Myanmar,EAP,Lower middle income,12.13454545,64.89445614618306,1
2011,MOZ,Mozambique,SSA,Low income,19.73740123,-4.824124252373341,6
2017,MOZ,Mozambique,SSA,Low income,14.67071429,-4.824124252373341,6
2011,MWI,Malawi,SSA,Low income,16.18825753,0.7702965283570284,6
2017,MWI,Malawi,SSA,Low income,16.951,0.7702965283570284,6
2011,MYS,Malaysia,EAP,Upper middle income,7.147923369,2.014659570126387,6
2017,MYS,Malaysia,EAP,Upper middle income,8.056666667,2.014659570126387,6
2016,NAM,Namibia,SSA,Upper middle income,16.68805704,65.65739159290409,1
2017,NAM,Namibia,SSA,Upper middle income,27.645,65.65739159290409,1
2011,NGA,Nigeria,SSA,Lower middle income,10.10992247,-2.827173206986777,6
2017,NGA,Nigeria,SSA,Lower middle income,8.511710526,-2.827173206986777,6
2011,NIC,Nicaragua,LAC,Lower middle income,4.504814815,-1.318426755776314,6
2017,NIC,Nicaragua,LAC,Lower middle income,4.16,-1.318426755776314,6
2011,NPL,Nepal,SAS,Low income,5.583695699,-2.8633553909462317,6
2017,NPL,Nepal,SAS,Low income,4.6905128210000004,-2.8633553909462317,6
2011,PAK,Pakistan,SAS,Lower middle income,6.58771262,-5.273781210789197,6
2017,PAK,Pakistan,SAS,Lower middle income,4.75944,-5.273781210789197,6
2011,PAN,Panama,LAC,High income,5.448,-1.5849879462574656,6
2017,PAN,Panama,LAC,High income,4.95,-1.5849879462574656,6
2011,PER,Peru,LAC,Upper middle income,4.994088021,-1.2568671457973135,6
2017,PER,Peru,LAC,Upper middle income,4.629111111,-1.2568671457973135,6
2011,PHL,Philippines,EAP,Lower middle income,6.158081641,-1.9776265355590406,6
2017,PHL,Philippines,EAP,Lower middle income,5.462566372,-1.9776265355590406,6
2011,PNG,Papua New Guinea,EAP,Lower middle income,16.86776925,,
2011,POL,Poland,ECA,High income,7.183079433,-3.6739083897909697,6
2017,POL,Poland,ECA,High income,5.738181818,-3.6739083897909697,6
2011,PRY,Paraguay,LAC,Upper middle income,11.56582592,-12.018502412161403,6
2017,PRY,Paraguay,LAC,Upper middle income,5.364444444,-12.018502412161403,6
2016,PSE,West Bank and Gaza,MNA,Lower middle income,6.225952616,17.152291446221945,1
2017,PSE,West Bank and Gaza,MNA,Lower middle income,7.293846154,17.152291446221945,1
2011,ROU,Romania,ECA,Upper middle income,7.050972247,-5.330359721803557,6
2017,ROU,Romania,ECA,Upper middle income,5.075903614,-5.330359721803557,6
2011,RWA,Rwanda,SSA,Low income,16.59449902,-5.871295330953641,6
2017,RWA,Rwanda,SSA,Low income,11.54241379,-5.871295330953641,6
2016,SDN,Sudan,SSA,Lower middle income,4.089997617,19.877820456930586,1
2017,SDN,Sudan,SSA,Lower middle income,4.903,19.877820456930586,1
2011,SEN,Senegal,SSA,Low income,9.887175863,-10.48669879672084,6
2017,SEN,Senegal,SSA,Low income,5.08625,-10.48669879672084,6
2011,SLB,Solomon Islands,EAP,Lower middle income,19.33769669,,
2011,SLE,Sierra Leone,SSA,Low income,8.048456172,0.5323950710808933,6
2017,SLE,Sierra Leone,SSA,Low income,8.309,0.5323950710808933,6
2011,SLV,El Salvador,LAC,Lower middle income,4.693333333,-2.9734774450790313,6
2017,SLV,El Salvador,LAC,Lower middle income,3.915833333,-2.9734774450790313,6
2011,SOM,Somalia,,Low income,8.965712366,-1.0327777403315808,6
2017,SOM,Somalia,,Low income,8.424285714,-1.0327777403315808,6
2011,SRB,Serbia,ECA,Upper middle income,10.51800108,-2.215799337173119,6
2017,SRB,Serbia,ECA,Upper middle income,9.194864865,-2.215799337173119,6
2016,SSD,South Sudan,SSA,Low income,9.597294249,0.6632924900331405,1
2017,SSD,South Sudan,SSA,Low income,9.660952381,0.6632924900331405,1
2011,SUR,Suriname,LAC,Upper middle income,8.686443637,-7.16015893634191,6
2017,SUR,Suriname,LAC,Upper middle income,5.562222222,-7.16015893634191,6
2011,SWZ,Eswatini,SSA,Lower middle income,14.29318735,1.7609506331629499,6
2017,SWZ,Eswatini,SSA,Lower middle income,15.87142857,1.7609506331629499,6
2016,SYR,Syrian Arab Republic,MNA,Low income,2.346938776,96.49163877464524,1
2017,SYR,Syrian Arab Republic,MNA,Low income,4.611538462,96.49163877464524,1
2013,TGO,Togo,SSA,Low income,11.85,-12.32228375724449,4
2017,TGO,Togo,SSA,Low income,7.002857143,-12.32228375724449,4
2011,THA,Thailand,EAP,Upper middle income,7.615706652,3.1363143727929144,6
2017,THA,Thailand,EAP,Upper middle income,9.166,3.1363143727929144,6
2011,TJK,Tajikistan,ECA,Low income,2.645815296,9.711716836627083,6
2017,TJK,Tajikistan,ECA,Low income,4.614,9.711716836627083,6
2011,TON,Tonga,EAP,Upper middle income,11.9253241,-3.6412891414754456,6
2017,TON,Tonga,EAP,Upper middle income,9.545882353,-3.6412891414754456,6
2011,TUN,Tunisia,MNA,Lower middle income,8.794921834,-0.6005640299029169,6
2017,TUN,Tunisia,MNA,Lower middle income,8.482727273,-0.6005640299029169,6
2011,TUR,Turkey,ECA,Upper middle income,8.762776252,-4.050395063229406,6
2017,TUR,Turkey,ECA,Upper middle income,6.837555556,-4.050395063229406,6
2011,TUV,Tuvalu,EAP,Upper middle income,12.32675815,,
2011,TZA,Tanzania,SSA,Low income,10.128952,0.7624597141389744,6
2017,TZA,Tanzania,SSA,Low income,10.60125,0.7624597141389744,6
2011,UGA,Uganda,SSA,Low income,14.73794757,-5.295306488407081,6
2017,UGA,Uganda,SSA,Low income,10.63325,-5.295306488407081,6
2011,UKR,Ukraine,ECA,Lower middle income,6.324501966,1.1919054119375883,6
2017,UKR,Ukraine,ECA,Lower middle income,6.790487805,1.1919054119375883,6
2011,UZB,Uzbekistan,ECA,Lower middle income,2.234761905,-4.793608632790313,6
2017,UZB,Uzbekistan,ECA,Lower middle income,1.664285714,-4.793608632790313,6
2011,VNM,Vietnam,EAP,Lower middle income,8.876354368,-2.4594603869531495,6
2017,VNM,Vietnam,EAP,Lower middle income,7.64443787,-2.4594603869531495,6
2011,VUT,Vanuatu,EAP,Lower middle income,13.79332426,3.1975562160361015,6
2017,VUT,Vanuatu,EAP,Lower middle income,16.6604,3.1975562160361015,6
2011,WSM,Samoa,EAP,Upper middle income,10.68579457,-0.32138331048090496,6
2017,WSM,Samoa,EAP,Upper middle income,10.48138889,-0.32138331048090496,6
2016,XKX,Kosovo,ECA,Lower middle income,8.213678569,-14.706070219972844,1
2017,XKX,Kosovo,ECA,Lower middle income,7.005769231,-14.706070219972844,1
2011,YEM,"Yemen, Rep.",MNA,Low income,3.292737094,8.549336763340488,6
2017,YEM,"Yemen, Rep.",MNA,Low income,5.386666667,8.549336763340488,6
2011,ZAF,South Africa,SSA,Upper middle income,8.032655639,0.0669978268188709,6
2017,ZAF,South Africa,SSA,Upper middle income,8.065,0.0669978268188709,6
2011,ZMB,Zambia,SSA,Lower middle income,14.2196366,1.0811379054505021,6
2017,ZMB,Zambia,SSA,Lower middle income,15.16733333,1.0811379054505021,6
2011,ZWE,Zimbabwe,SSA,Low income,13.70544375,-3.2640108395851963,6
2017,ZWE,Zimbabwe,SSA,Low income,11.23108108,-3.2640108395851963,6
