region,countrycode,countryname,characteristic,incomegroup,year,share_b40,share_t60
ECA,ARM,Armenia,GEN:      female,Upper-middle income,2018,0.3989587,0.6010413
ECA,ARM,Armenia,GEN:        male,Upper-middle income,2018,0.4011341,0.5988659
ECA,ARM,Armenia,EDU:   secondary,Upper-middle income,2018,0.4010167,0.5989833
ECA,ARM,Armenia,EDU: no eduation,Upper-middle income,2018,,
ECA,ARM,Armenia,EDU:     primary,Upper-middle income,2018,0.3977629,0.602237
ECA,ARM,Armenia,RUR:       rural,Upper-middle income,2018,0.3827149,0.6172851
ECA,ARM,Armenia,EDU:     teriary,Upper-middle income,2018,0.2837508,0.7162492
ECA,ARM,Armenia,AGE:      0 - 14,Upper-middle income,2018,0.503359,0.4966411
ECA,ARM,Armenia,AGE:     15 - 64,Upper-middle income,2018,0.3830099,0.6169901
ECA,ARM,Armenia,AGE:    above 64,Upper-middle income,2018,0.3468237,0.6531763
ECA,ARM,Armenia,RUR:       urban,Upper-middle income,2018,0.4110193,0.5889807
ECA,AUT,Austria,GEN:        male,High income,2017,0.3940695,0.6059305
ECA,AUT,Austria,GEN:      female,High income,2017,0.4056226,0.5943773
ECA,AUT,Austria,AGE:     15 - 64,High income,2017,0.3663279,0.6336721
ECA,AUT,Austria,AGE:      0 - 14,High income,2017,0.7302271,0.2697729
ECA,AUT,Austria,RUR:       urban,High income,2017,0.3997514,0.6002486
ECA,AUT,Austria,AGE:    above 64,High income,2017,0.2791115,0.7208885
ECA,AUT,Austria,EDU:     teriary,High income,2017,0.2657351,0.7342649
ECA,AUT,Austria,RUR:       rural,High income,2017,0.4002391,0.5997609
ECA,AUT,Austria,EDU:     primary,High income,2017,0.736138,
ECA,AUT,Austria,EDU:   secondary,High income,2017,0.3723838,0.6276162
ECA,AUT,Austria,EDU: no eduation,High income,2017,,
ECA,AZE,Azerbaijan,GEN:      female,Upper-middle income,2005,0.4034744,0.5965256
ECA,AZE,Azerbaijan,EDU:     teriary,Upper-middle income,2005,0.2953141,0.7046859
ECA,AZE,Azerbaijan,GEN:        male,Upper-middle income,2005,0.3961885,0.6038115
ECA,AZE,Azerbaijan,EDU: no eduation,Upper-middle income,2005,0.4965896,0.5034104
ECA,AZE,Azerbaijan,RUR:       rural,Upper-middle income,2005,0.5436239,0.4563761
ECA,AZE,Azerbaijan,AGE:    above 64,Upper-middle income,2005,0.4134919,0.5865082
ECA,AZE,Azerbaijan,RUR:       urban,Upper-middle income,2005,0.2730359,0.7269641
ECA,AZE,Azerbaijan,AGE:     15 - 64,Upper-middle income,2005,0.3807722,0.6192278
ECA,AZE,Azerbaijan,EDU:     primary,Upper-middle income,2005,0.4499043,0.5500957
ECA,AZE,Azerbaijan,AGE:      0 - 14,Upper-middle income,2005,0.4493565,0.5506434
ECA,AZE,Azerbaijan,EDU:   secondary,Upper-middle income,2005,0.4201831,0.5798169
SSA,BDI,Burundi,EDU:   secondary,Low income,2013,0.1550987,0.8449013
SSA,BDI,Burundi,RUR:       rural,Low income,2013,0.4301883,0.5698116
SSA,BDI,Burundi,EDU:     primary,Low income,2013,0.3308255,0.6691745
SSA,BDI,Burundi,GEN:        male,Low income,2013,0.3931839,0.6068161
SSA,BDI,Burundi,RUR:       urban,Low income,2013,0.1260068,0.8739932
SSA,BDI,Burundi,GEN:      female,Low income,2013,0.4061523,0.5938477
SSA,BDI,Burundi,EDU:     teriary,Low income,2013,,0.9897995
SSA,BDI,Burundi,AGE:     15 - 64,Low income,2013,0.3557685,0.6442315
SSA,BDI,Burundi,EDU: no eduation,Low income,2013,0.4233674,0.5766326
SSA,BDI,Burundi,AGE:    above 64,Low income,2013,0.2799399,0.7200601
SSA,BDI,Burundi,AGE:      0 - 14,Low income,2013,0.4514281,0.5485719
ECA,BEL,Belgium,EDU:     primary,High income,2017,0.4812706,0.5187294
ECA,BEL,Belgium,AGE:    above 64,High income,2017,0.3125339,0.687466
ECA,BEL,Belgium,EDU:     teriary,High income,2017,0.1987142,0.8012857
ECA,BEL,Belgium,RUR:       rural,High income,2017,0.4051769,0.5948231
ECA,BEL,Belgium,EDU:   secondary,High income,2017,0.4257445,0.5742555
ECA,BEL,Belgium,GEN:      female,High income,2017,0.4034201,0.5965799
ECA,BEL,Belgium,AGE:      0 - 14,High income,2017,0.5941002,0.4058998
ECA,BEL,Belgium,RUR:       urban,High income,2017,0.3981677,0.6018323
ECA,BEL,Belgium,AGE:     15 - 64,High income,2017,0.3784842,0.6215158
ECA,BEL,Belgium,EDU: no eduation,High income,2017,0.7370662,0.2629338
ECA,BEL,Belgium,GEN:        male,High income,2017,0.3953762,0.6046239
SSA,BEN,Benin,EDU:     primary,Low income,2015,0.2854733,0.7145267
SSA,BEN,Benin,AGE:     15 - 64,Low income,2015,0.3496426,0.6503574
SSA,BEN,Benin,GEN:        male,Low income,2015,0.3994052,0.6005948
SSA,BEN,Benin,RUR:       urban,Low income,2015,0.2785853,0.7214147
SSA,BEN,Benin,RUR:       rural,Low income,2015,0.4993175,0.5006825
SSA,BEN,Benin,GEN:      female,Low income,2015,0.4005768,0.5994232
SSA,BEN,Benin,EDU:   secondary,Low income,2015,0.2220698,0.7779303
SSA,BEN,Benin,EDU: no eduation,Low income,2015,0.4257388,0.5742612
SSA,BEN,Benin,AGE:      0 - 14,Low income,2015,0.4556044,0.5443956
SSA,BEN,Benin,EDU:     teriary,Low income,2015,0.0904294,0.9095706
SSA,BEN,Benin,AGE:    above 64,Low income,2015,0.3353347,0.6646653
SSA,BFA,Burkina Faso,AGE:      0 - 14,Low income,2014,0.4485784,0.5514215
SSA,BFA,Burkina Faso,EDU: no eduation,Low income,2014,0.4139426,0.5860574
SSA,BFA,Burkina Faso,EDU:     primary,Low income,2014,0.3536985,0.6463015
SSA,BFA,Burkina Faso,AGE:     15 - 64,Low income,2014,0.3501807,0.6498193
SSA,BFA,Burkina Faso,GEN:        male,Low income,2014,0.3997195,0.6002805
SSA,BFA,Burkina Faso,EDU:   secondary,Low income,2014,0.180778,0.819222
SSA,BFA,Burkina Faso,RUR:       rural,Low income,2014,0.4736173,0.5263826
SSA,BFA,Burkina Faso,GEN:      female,Low income,2014,0.4002428,0.5997572
SSA,BFA,Burkina Faso,RUR:       urban,Low income,2014,0.1369121,0.8630879
SSA,BFA,Burkina Faso,AGE:    above 64,Low income,2014,0.4263477,0.5736523
SSA,BFA,Burkina Faso,EDU:     teriary,Low income,2014,,0.9934165
SAR,BGD,Bangladesh,RUR:       urban,Lower-middle income,2016,0.2184728,0.7815272
SAR,BGD,Bangladesh,EDU:     primary,Lower-middle income,2016,0.4090005,0.5909994
SAR,BGD,Bangladesh,GEN:      female,Lower-middle income,2016,0.3999879,0.6000121
SAR,BGD,Bangladesh,EDU: no eduation,Lower-middle income,2016,0.5023656,0.4976344
SAR,BGD,Bangladesh,AGE:    above 64,Lower-middle income,2016,0.397257,0.602743
SAR,BGD,Bangladesh,EDU:   secondary,Lower-middle income,2016,0.2605712,0.7394288
SAR,BGD,Bangladesh,GEN:        male,Lower-middle income,2016,0.3961193,0.6038807
SAR,BGD,Bangladesh,RUR:       rural,Lower-middle income,2016,0.4651411,0.5348589
SAR,BGD,Bangladesh,AGE:     15 - 64,Lower-middle income,2016,0.3638995,0.6361005
SAR,BGD,Bangladesh,AGE:      0 - 14,Lower-middle income,2016,0.4647632,0.5352368
SAR,BGD,Bangladesh,EDU:     teriary,Lower-middle income,2016,0.1065807,0.8934193
ECA,BGR,Bulgaria,RUR:       urban,Upper-middle income,2017,0.3211835,0.6788166
ECA,BGR,Bulgaria,EDU: no eduation,Upper-middle income,2017,0.8524063,0.1475937
ECA,BGR,Bulgaria,AGE:     15 - 64,Upper-middle income,2017,0.3723382,0.6276618
ECA,BGR,Bulgaria,RUR:       rural,Upper-middle income,2017,0.5678868,0.4321132
ECA,BGR,Bulgaria,GEN:      female,Upper-middle income,2017,0.4111438,0.5888562
ECA,BGR,Bulgaria,EDU:     teriary,Upper-middle income,2017,0.1532584,0.8467416
ECA,BGR,Bulgaria,GEN:        male,Upper-middle income,2017,0.3881176,0.6118824
ECA,BGR,Bulgaria,AGE:    above 64,Upper-middle income,2017,0.3888493,0.6111507
ECA,BGR,Bulgaria,EDU:   secondary,Upper-middle income,2017,0.4107322,0.5892678
ECA,BGR,Bulgaria,AGE:      0 - 14,Upper-middle income,2017,0.5509043,0.4490957
ECA,BGR,Bulgaria,EDU:     primary,Upper-middle income,2017,0.825507,0.174493
ECA,BIH,Bosnia and Herzegovina,GEN:        male,Upper-middle income,2011,0.4059345,0.5940655
ECA,BIH,Bosnia and Herzegovina,AGE:     15 - 64,Upper-middle income,2011,0.3858584,0.6141416
ECA,BIH,Bosnia and Herzegovina,AGE:      0 - 14,Upper-middle income,2011,0.5129076,0.4870924
ECA,BIH,Bosnia and Herzegovina,EDU:   secondary,Upper-middle income,2011,0.325466,0.674534
ECA,BIH,Bosnia and Herzegovina,GEN:      female,Upper-middle income,2011,0.3942875,0.6057125
ECA,BIH,Bosnia and Herzegovina,RUR:       urban,Upper-middle income,2011,0.2971083,0.7028918
ECA,BIH,Bosnia and Herzegovina,EDU:     primary,Upper-middle income,2011,0.4742607,0.5257393
ECA,BIH,Bosnia and Herzegovina,EDU: no eduation,Upper-middle income,2011,0.5380042,0.4619958
ECA,BIH,Bosnia and Herzegovina,EDU:     teriary,Upper-middle income,2011,0.1189396,0.8810604
ECA,BIH,Bosnia and Herzegovina,AGE:    above 64,Upper-middle income,2011,0.3432015,0.6567984
ECA,BIH,Bosnia and Herzegovina,RUR:       rural,Upper-middle income,2011,0.4713951,0.5286049
ECA,BLR,Belarus,GEN:      female,Upper-middle income,2018,0.3869287,0.6130713
ECA,BLR,Belarus,AGE:      0 - 14,Upper-middle income,2018,0.5498466,0.4501534
ECA,BLR,Belarus,RUR:       rural,Upper-middle income,2018,0.574892,0.425108
ECA,BLR,Belarus,RUR:       urban,Upper-middle income,2018,0.338762,0.661238
ECA,BLR,Belarus,EDU:     teriary,Upper-middle income,2018,0.197432,0.802568
ECA,BLR,Belarus,AGE:    above 64,Upper-middle income,2018,0.362453,0.637547
ECA,BLR,Belarus,EDU:     primary,Upper-middle income,2018,0.5353364,0.4646636
ECA,BLR,Belarus,EDU: no eduation,Upper-middle income,2018,,
ECA,BLR,Belarus,GEN:        male,Upper-middle income,2018,0.4172513,0.5827487
ECA,BLR,Belarus,EDU:   secondary,Upper-middle income,2018,0.4312553,0.5687447
ECA,BLR,Belarus,AGE:     15 - 64,Upper-middle income,2018,0.3722915,0.6277086
LAC,BOL,Bolivia,EDU:   secondary,Lower-middle income,2018,0.3463843,0.6536157
LAC,BOL,Bolivia,RUR:       urban,Lower-middle income,2018,0.2789242,0.7210758
LAC,BOL,Bolivia,GEN:      female,Lower-middle income,2018,0.4067835,0.5932165
LAC,BOL,Bolivia,RUR:       rural,Lower-middle income,2018,0.6771621,0.322838
LAC,BOL,Bolivia,EDU: no eduation,Lower-middle income,2018,0.6695544,0.3304456
LAC,BOL,Bolivia,AGE:      0 - 14,Lower-middle income,2018,0.5253661,0.4746339
LAC,BOL,Bolivia,AGE:     15 - 64,Lower-middle income,2018,0.3403299,0.6596701
LAC,BOL,Bolivia,AGE:    above 64,Lower-middle income,2018,0.4029052,0.5970948
LAC,BOL,Bolivia,EDU:     teriary,Lower-middle income,2018,0.1256203,0.8743796
LAC,BOL,Bolivia,EDU:     primary,Lower-middle income,2018,0.4781092,0.5218909
LAC,BOL,Bolivia,GEN:        male,Lower-middle income,2018,0.392884,0.607116
LAC,BRA,Brazil,EDU: no eduation,Upper-middle income,2018,0.4507658,0.5492342
LAC,BRA,Brazil,EDU:     teriary,Upper-middle income,2018,0.2313935,0.7686065
LAC,BRA,Brazil,AGE:    above 64,Upper-middle income,2018,0.1518335,0.8481665
LAC,BRA,Brazil,GEN:        male,Upper-middle income,2018,0.397037,0.602963
LAC,BRA,Brazil,RUR:       urban,Upper-middle income,2018,0.3620199,0.63798
LAC,BRA,Brazil,RUR:       rural,Upper-middle income,2018,0.6184309,0.3815691
LAC,BRA,Brazil,GEN:      female,Upper-middle income,2018,0.4006507,0.5993493
LAC,BRA,Brazil,EDU:   secondary,Upper-middle income,2018,0.4714677,0.5285323
LAC,BRA,Brazil,AGE:      0 - 14,Upper-middle income,2018,0.6048233,0.3951767
LAC,BRA,Brazil,AGE:     15 - 64,Upper-middle income,2018,0.3768176,0.6231824
LAC,BRA,Brazil,EDU:     primary,Upper-middle income,2018,0.4479308,0.5520692
SAR,BTN,Bhutan,EDU:     teriary,Lower-middle income,2017,0.0995063,0.9004937
SAR,BTN,Bhutan,AGE:     15 - 64,Lower-middle income,2017,0.375589,0.624411
SAR,BTN,Bhutan,GEN:        male,Lower-middle income,2017,0.4039216,0.5960784
SAR,BTN,Bhutan,RUR:       urban,Lower-middle income,2017,0.1301294,0.8698705
SAR,BTN,Bhutan,EDU: no eduation,Lower-middle income,2017,0.4801119,0.5198881
SAR,BTN,Bhutan,GEN:      female,Lower-middle income,2017,0.396212,0.603788
SAR,BTN,Bhutan,AGE:    above 64,Lower-middle income,2017,0.4903013,0.5096987
SAR,BTN,Bhutan,EDU:   secondary,Lower-middle income,2017,0.2501185,0.7498815
SAR,BTN,Bhutan,EDU:     primary,Lower-middle income,2017,0.3832309,0.6167691
SAR,BTN,Bhutan,AGE:      0 - 14,Lower-middle income,2017,0.4338696,0.5661305
SAR,BTN,Bhutan,RUR:       rural,Lower-middle income,2017,0.5314986,0.4685014
SSA,BWA,Botswana,GEN:      female,Upper-middle income,2015,0.4160101,0.5839899
SSA,BWA,Botswana,AGE:     15 - 64,Upper-middle income,2015,0.3281702,0.6718298
SSA,BWA,Botswana,RUR:       rural,Upper-middle income,2015,0.5712372,0.4287628
SSA,BWA,Botswana,AGE:      0 - 14,Upper-middle income,2015,0.5197824,0.4802176
SSA,BWA,Botswana,EDU:     teriary,Upper-middle income,2015,0.0852472,0.9147528
SSA,BWA,Botswana,GEN:        male,Upper-middle income,2015,0.38192,0.6180801
SSA,BWA,Botswana,EDU:     primary,Upper-middle income,2015,0.4146119,0.5853881
SSA,BWA,Botswana,EDU:   secondary,Upper-middle income,2015,0.3446758,0.6553242
SSA,BWA,Botswana,RUR:       urban,Upper-middle income,2015,0.3080083,0.6919917
SSA,BWA,Botswana,EDU: no eduation,Upper-middle income,2015,0.5528213,0.4471787
SSA,BWA,Botswana,AGE:    above 64,Upper-middle income,2015,0.4376616,0.5623384
SSA,CAF,Central African Republic,EDU:     teriary,Low income,2008,0.0871442,0.9128558
SSA,CAF,Central African Republic,AGE:      0 - 14,Low income,2008,0.4517544,0.5482456
SSA,CAF,Central African Republic,GEN:      female,Low income,2008,0.4006025,0.5993975
SSA,CAF,Central African Republic,AGE:    above 64,Low income,2008,0.3449825,0.6550174
SSA,CAF,Central African Republic,RUR:       rural,Low income,2008,0.4983242,0.5016758
SSA,CAF,Central African Republic,EDU: no eduation,Low income,2008,,
SSA,CAF,Central African Republic,AGE:     15 - 64,Low income,2008,0.3553684,0.6446316
SSA,CAF,Central African Republic,GEN:        male,Low income,2008,0.3991085,0.6008915
SSA,CAF,Central African Republic,EDU:   secondary,Low income,2008,0.2178494,0.7821506
SSA,CAF,Central African Republic,RUR:       urban,Low income,2008,0.23351740000000001,0.7664826
SSA,CAF,Central African Republic,EDU:     primary,Low income,2008,0.3477442,0.6522558
ECA,CHE,Switzerland,GEN:        male,High income,2017,0.3975357,0.6024643
ECA,CHE,Switzerland,AGE:      0 - 14,High income,2017,0.6997029,0.3002971
ECA,CHE,Switzerland,GEN:      female,High income,2017,0.4013766,0.5986234
ECA,CHE,Switzerland,EDU:   secondary,High income,2017,0.4044818,0.5955182
ECA,CHE,Switzerland,AGE:    above 64,High income,2017,0.3352393,0.6647608
ECA,CHE,Switzerland,RUR:       rural,High income,2017,0.4512778,0.5487221
ECA,CHE,Switzerland,RUR:       urban,High income,2017,0.3884535,0.6115465
ECA,CHE,Switzerland,EDU: no eduation,High income,2017,,
ECA,CHE,Switzerland,AGE:     15 - 64,High income,2017,0.3538499,0.6461501
ECA,CHE,Switzerland,EDU:     primary,High income,2017,0.5203119,0.4796881
ECA,CHE,Switzerland,EDU:     teriary,High income,2017,0.2280996,0.7719004
LAC,CHL,Chile,EDU:     teriary,High income,2017,0.2003025,0.7996975
LAC,CHL,Chile,GEN:        male,High income,2017,0.3882084,0.6117916
LAC,CHL,Chile,AGE:      0 - 14,High income,2017,0.5690799,0.4309201
LAC,CHL,Chile,EDU:     primary,High income,2017,0.4685378,0.5314622
LAC,CHL,Chile,EDU: no eduation,High income,2017,0.5076186,0.4923814
LAC,CHL,Chile,AGE:     15 - 64,High income,2017,0.3806949,0.6193051
LAC,CHL,Chile,GEN:      female,High income,2017,0.4106835,0.5893165
LAC,CHL,Chile,RUR:       rural,High income,2017,0.5112942,0.4887058
LAC,CHL,Chile,AGE:    above 64,High income,2017,0.2575411,0.7424589
LAC,CHL,Chile,RUR:       urban,High income,2017,0.3838629,0.6161371
LAC,CHL,Chile,EDU:   secondary,High income,2017,0.4138796,0.5861204
SSA,CIV,Côte dIvoire,AGE:      0 - 14,Lower-middle income,2015,0.5082293,0.4917707
SSA,CIV,Côte dIvoire,GEN:      female,Lower-middle income,2015,0.4093754,0.5906246
SSA,CIV,Côte dIvoire,RUR:       rural,Lower-middle income,2015,0.5464633,0.4535367
SSA,CIV,Côte dIvoire,EDU:     primary,Lower-middle income,2015,0.3087099,0.6912901
SSA,CIV,Côte dIvoire,RUR:       urban,Lower-middle income,2015,0.2540952,0.7459048
SSA,CIV,Côte dIvoire,EDU:     teriary,Lower-middle income,2015,0.0518787,0.9481212
SSA,CIV,Côte dIvoire,AGE:     15 - 64,Lower-middle income,2015,0.3280338,0.6719662
SSA,CIV,Côte dIvoire,EDU: no eduation,Lower-middle income,2015,0.404995,0.595005
SSA,CIV,Côte dIvoire,EDU:   secondary,Lower-middle income,2015,0.192594,0.807406
SSA,CIV,Côte dIvoire,GEN:        male,Lower-middle income,2015,0.3908804,0.6091196
SSA,CIV,Côte dIvoire,AGE:    above 64,Lower-middle income,2015,0.3646536,0.6353464
SSA,CMR,Cameroon,EDU:     teriary,Lower-middle income,2014,0.0259436,0.9740564
SSA,CMR,Cameroon,RUR:       rural,Lower-middle income,2014,0.6056845,0.3943155
SSA,CMR,Cameroon,AGE:      0 - 14,Lower-middle income,2014,0.4887544,0.5112456
SSA,CMR,Cameroon,EDU: no eduation,Lower-middle income,2014,0.6326966,0.3673034
SSA,CMR,Cameroon,AGE:    above 64,Lower-middle income,2014,0.4590702,0.5409298
SSA,CMR,Cameroon,GEN:      female,Lower-middle income,2014,0.4075478,0.5924522
SSA,CMR,Cameroon,GEN:        male,Lower-middle income,2014,0.3919711,0.6080289
SSA,CMR,Cameroon,AGE:     15 - 64,Lower-middle income,2014,0.3216775,0.6783226
SSA,CMR,Cameroon,EDU:   secondary,Lower-middle income,2014,0.1869241,0.8130759
SSA,CMR,Cameroon,RUR:       urban,Lower-middle income,2014,0.0971786,0.9028214
SSA,CMR,Cameroon,EDU:     primary,Lower-middle income,2014,0.3713411,0.6286589
SSA,COD,"Congo, Dem. Rep.",GEN:      female,Low income,2012,0.3959067,0.6040933
SSA,COD,"Congo, Dem. Rep.",AGE:    above 64,Low income,2012,0.2494429,0.7505571
SSA,COD,"Congo, Dem. Rep.",EDU:     teriary,Low income,2012,0.0620857,0.9379143
SSA,COD,"Congo, Dem. Rep.",RUR:       urban,Low income,2012,0.183834,0.816166
SSA,COD,"Congo, Dem. Rep.",EDU:     primary,Low income,2012,0.4258275,0.5741724
SSA,COD,"Congo, Dem. Rep.",GEN:        male,Low income,2012,0.4042167,0.5957833
SSA,COD,"Congo, Dem. Rep.",AGE:      0 - 14,Low income,2012,0.4588985,0.5411015
SSA,COD,"Congo, Dem. Rep.",EDU:   secondary,Low income,2012,0.2907781,0.709222
SSA,COD,"Congo, Dem. Rep.",AGE:     15 - 64,Low income,2012,0.3558207,0.6441793
SSA,COD,"Congo, Dem. Rep.",RUR:       rural,Low income,2012,0.5354649,0.4645351
SSA,COD,"Congo, Dem. Rep.",EDU: no eduation,Low income,2012,0.4546489,0.5453511
SSA,COG,"Congo, Rep.",GEN:        male,Lower-middle income,2011,0.3929252,0.6070748
SSA,COG,"Congo, Rep.",EDU:   secondary,Lower-middle income,2011,0.2832537,0.7167463
SSA,COG,"Congo, Rep.",AGE:     15 - 64,Lower-middle income,2011,0.3438915,0.6561085
SSA,COG,"Congo, Rep.",EDU:     primary,Lower-middle income,2011,0.5043349,0.495665
SSA,COG,"Congo, Rep.",RUR:       rural,Lower-middle income,2011,0.7378061,0.2621938
SSA,COG,"Congo, Rep.",AGE:    above 64,Lower-middle income,2011,0.4073485,0.5926515
SSA,COG,"Congo, Rep.",GEN:      female,Lower-middle income,2011,0.406486,0.593514
SSA,COG,"Congo, Rep.",AGE:      0 - 14,Lower-middle income,2011,0.4794631,0.5205369
SSA,COG,"Congo, Rep.",RUR:       urban,Lower-middle income,2011,0.2318763,0.7681237
SSA,COG,"Congo, Rep.",EDU: no eduation,Lower-middle income,2011,0.55606,0.4439401
SSA,COG,"Congo, Rep.",EDU:     teriary,Lower-middle income,2011,0.0877394,0.9122607
LAC,COL,Colombia,AGE:      0 - 14,Upper-middle income,2018,0.5604811,0.4395188
LAC,COL,Colombia,RUR:       urban,Upper-middle income,2018,0.3276641,0.6723359
LAC,COL,Colombia,RUR:       rural,Upper-middle income,2018,0.6474869,0.3525131
LAC,COL,Colombia,GEN:      female,Upper-middle income,2018,0.4053237,0.5946764
LAC,COL,Colombia,GEN:        male,Upper-middle income,2018,0.3945402,0.6054598
LAC,COL,Colombia,EDU:     primary,Upper-middle income,2018,0.5033891,0.4966109
LAC,COL,Colombia,AGE:    above 64,Upper-middle income,2018,0.2909412,0.7090588
LAC,COL,Colombia,EDU:   secondary,Upper-middle income,2018,0.3775004,0.6224996
LAC,COL,Colombia,EDU: no eduation,Upper-middle income,2018,0.6075135,0.3924865
LAC,COL,Colombia,AGE:     15 - 64,Upper-middle income,2018,0.35142640000000003,0.6485736
LAC,COL,Colombia,EDU:     teriary,Upper-middle income,2018,0.1287142,0.8712859
SSA,COM,Comoros,AGE:     15 - 64,Lower-middle income,2013,0.3877597,0.6122403
SSA,COM,Comoros,EDU:   secondary,Lower-middle income,2013,0.3281196,0.6718804
SSA,COM,Comoros,GEN:      female,Lower-middle income,2013,0.3987798,0.6012202
SSA,COM,Comoros,RUR:       urban,Lower-middle income,2013,0.2975741,0.7024259
SSA,COM,Comoros,EDU:     primary,Lower-middle income,2013,0.3914444,0.6085556
SSA,COM,Comoros,GEN:        male,Lower-middle income,2013,0.401361,0.598639
SSA,COM,Comoros,AGE:    above 64,Lower-middle income,2013,0.3014844,0.6985155
SSA,COM,Comoros,EDU: no eduation,Lower-middle income,2013,,
SSA,COM,Comoros,EDU:     teriary,Lower-middle income,2013,0.1852774,0.8147226
SSA,COM,Comoros,RUR:       rural,Lower-middle income,2013,0.4674722,0.5325277
SSA,COM,Comoros,AGE:      0 - 14,Lower-middle income,2013,0.4956472,0.5043528
SSA,CPV,Cabo Verde,EDU:   secondary,Lower-middle income,2015,0.3344646,0.6655354
SSA,CPV,Cabo Verde,EDU: no eduation,Lower-middle income,2015,0.4683113,0.5316887
SSA,CPV,Cabo Verde,EDU:     teriary,Lower-middle income,2015,0.0575977,0.9424023
SSA,CPV,Cabo Verde,GEN:        male,Lower-middle income,2015,0.3907386,0.6092614
SSA,CPV,Cabo Verde,AGE:    above 64,Lower-middle income,2015,0.3338081,0.6661919
SSA,CPV,Cabo Verde,RUR:       urban,Lower-middle income,2015,0.2947803,0.7052197
SSA,CPV,Cabo Verde,RUR:       rural,Lower-middle income,2015,0.5895846,0.4104154
SSA,CPV,Cabo Verde,EDU:     primary,Lower-middle income,2015,0.4291991,0.57080090000000006
SSA,CPV,Cabo Verde,AGE:     15 - 64,Lower-middle income,2015,0.3620354,0.6379647
SSA,CPV,Cabo Verde,GEN:      female,Lower-middle income,2015,0.4085151,0.591485
SSA,CPV,Cabo Verde,AGE:      0 - 14,Lower-middle income,2015,0.4873208,0.5126792
LAC,CRI,Costa Rica,AGE:      0 - 14,Upper-middle income,2018,0.595492,0.404508
LAC,CRI,Costa Rica,EDU:     teriary,Upper-middle income,2018,0.0867547,0.9132453
LAC,CRI,Costa Rica,EDU: no eduation,Upper-middle income,2018,0.575743,0.4242571
LAC,CRI,Costa Rica,GEN:      female,Upper-middle income,2018,0.4064824,0.5935175
LAC,CRI,Costa Rica,AGE:    above 64,Upper-middle income,2018,0.2723956,0.7276044
LAC,CRI,Costa Rica,GEN:        male,Upper-middle income,2018,0.3931282,0.6068718
LAC,CRI,Costa Rica,RUR:       urban,Upper-middle income,2018,0.3431091,0.65689090000000006
