B40,FCV,IDA,Number of Records,B40_T60,T60,code,Countryname,Datetime,Filename,incomegroup,Maxyear,nWLD,Np190,Np320,Np550,P190,P320,P550,Precase,Region,Survname,Welftype,Year
0.3075058,0,0,1,0.444055416,0.6924942,ALB,Albania,24may2020 10:18:14,ALB_2017_HBS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2017,1,0.9956334,0.9545447,0.7452368,,0.0454553,0.2547632,AGE:    above 64,ECA,HBS,CONS,2017
0.3864018,0,0,1,0.629730987,0.6135982,ALB,Albania,24may2020 10:18:14,ALB_2017_HBS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2017,1,0.9900861,0.9231507,0.6750717,0.0099138,0.0768493,0.3249283,AGE:     15 - 64,ECA,HBS,CONS,2017
0.3261335,0,0,1,0.483973386,0.6738666,ALB,Albania,24may2020 10:18:14,ALB_2017_HBS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2017,1,0.9969176,0.9493883,0.7320844,,0.0506117,0.2679156,EDU:   secondary,ECA,HBS,CONS,2017
,0,0,1,,,ALB,Albania,24may2020 10:18:14,ALB_2017_HBS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2017,1,,,,,,,RUR:       urban,ECA,HBS,CONS,2017
0.5193153,0,0,1,1.080365778,0.4806847,ALB,Albania,24may2020 10:18:14,ALB_2017_HBS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2017,1,0.970775,0.8722776,0.5534473,0.029225,0.1277224,0.4465527,AGE:      0 - 14,ECA,HBS,CONS,2017
0.1557542,0,0,1,0.184489140,0.8442459,ALB,Albania,24may2020 10:18:14,ALB_2017_HBS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2017,1,0.9984621,0.9844297,0.87685,,0.0155703,0.12315,EDU:     teriary,ECA,HBS,CONS,2017
,0,0,1,,,ALB,Albania,24may2020 10:18:14,ALB_2017_HBS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2017,1,,,,,,,RUR:       rural,ECA,HBS,CONS,2017
0.4809008,0,0,1,0.926414065,0.5190992,ALB,Albania,24may2020 10:18:14,ALB_2017_HBS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2017,1,0.9860017,0.8974092,0.5901077,0.0139983,0.1025908,0.4098923,EDU:     primary,ECA,HBS,CONS,2017
0.5694548,0,0,1,1.322636816,0.4305451,ALB,Albania,24may2020 10:18:14,ALB_2017_HBS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2017,1,0.9149871,0.7747089,0.5003958,,0.2252911,0.4996042,EDU: no eduation,ECA,HBS,CONS,2017
0.1009725,0,0,1,0.112313027,0.8990275,ARG,Argentina,24may2020 10:18:14,ARG_2018_EPHC-S2_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.999135,0.998645,0.9887733,,,0.0112267,AGE:    above 64,LAC,EPHC-S2,INC,2018
0.6181129,0,0,1,1.618574966,0.3818871,ARG,Argentina,24may2020 10:18:14,ARG_2018_EPHC-S2_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9727843,0.9181798,0.7711842,0.0272157,0.0818202,0.2288158,AGE:      0 - 14,LAC,EPHC-S2,INC,2018
0.401105,0,0,1,0.669741774,0.598895,ARG,Argentina,24may2020 10:18:14,ARG_2018_EPHC-S2_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9873903,0.9606342,0.8779723,0.0126097,0.0393658,0.1220277,GEN:      female,LAC,EPHC-S2,INC,2018
,0,0,1,,,ARG,Argentina,24may2020 10:18:14,ARG_2018_EPHC-S2_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,,,,,,,RUR:       rural,LAC,EPHC-S2,INC,2018
0.4294695,0,0,1,0.752754673,0.5705305,ARG,Argentina,24may2020 10:18:14,ARG_2018_EPHC-S2_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9870876,0.9658753,0.8443716,,,0.1556284,EDU: no eduation,LAC,EPHC-S2,INC,2018
0.1612755,0,0,1,0.192286621,0.8387245,ARG,Argentina,24may2020 10:18:14,ARG_2018_EPHC-S2_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9980797,0.9932984,0.9744155,0.0019203,0.0067016,0.0255845,EDU:     teriary,LAC,EPHC-S2,INC,2018
0.3999943,0,0,1,0.666650833,0.6000057,ARG,Argentina,24may2020 10:18:14,ARG_2018_EPHC-S2_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9870321,0.9609561,0.8781604,0.0129679,0.0390439,0.1218396,RUR:       urban,LAC,EPHC-S2,INC,2018
0.4099508,0,0,1,0.694773927,0.5900492,ARG,Argentina,24may2020 10:18:14,ARG_2018_EPHC-S2_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9888515,0.9662301,0.8841947,0.0111484,0.0337699,0.1158053,EDU:   secondary,LAC,EPHC-S2,INC,2018
0.4464369,0,0,1,0.806478792,0.5535631,ARG,Argentina,24may2020 10:18:14,ARG_2018_EPHC-S2_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9836484,0.9466906,0.8510771,0.0163516,0.0533094,0.1489229,EDU:     primary,LAC,EPHC-S2,INC,2018
0.3987875,0,0,1,0.663305293,0.6012126,ARG,Argentina,24may2020 10:18:14,ARG_2018_EPHC-S2_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.986643,0.9613057,0.8783648,0.013357,0.0386943,0.1216352,GEN:        male,LAC,EPHC-S2,INC,2018
0.3856476,0,0,1,0.627730273,0.6143524,ARG,Argentina,24may2020 10:18:14,ARG_2018_EPHC-S2_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.989462,0.9679791,0.8924262,0.010538,0.0320209,0.1075738,AGE:     15 - 64,LAC,EPHC-S2,INC,2018
0.3989587,0,0,1,0.663779178,0.6010413,ARM,Armenia,24may2020 10:18:14,ARM_2018_ILCS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9860316,0.9068819,0.5764271,0.0139684,0.0931181,0.4235729,GEN:      female,ECA,ILCS,CONS,2018
0.4011341,0,0,1,0.669822910,0.5988659,ARM,Armenia,24may2020 10:18:14,ARM_2018_ILCS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9857643,0.904404,0.573624,0.0142357,0.095596,0.426376,GEN:        male,ECA,ILCS,CONS,2018
0.4010167,0,0,1,0.669495627,0.5989833,ARM,Armenia,24may2020 10:18:14,ARM_2018_ILCS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9842702,0.905357,0.5741801,0.0157298,0.094643,0.4258199,EDU:   secondary,ECA,ILCS,CONS,2018
,0,0,1,,,ARM,Armenia,24may2020 10:18:14,ARM_2018_ILCS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,1,0.7815275,,,,,EDU: no eduation,ECA,ILCS,CONS,2018
0.3977629,0,0,1,0.660475693,0.602237,ARM,Armenia,24may2020 10:18:14,ARM_2018_ILCS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9840019,0.9255189,0.5816199,,,0.4183801,EDU:     primary,ECA,ILCS,CONS,2018
0.3827149,0,0,1,0.619996984,0.6172851,ARM,Armenia,24may2020 10:18:14,ARM_2018_ILCS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9825829,0.9079306,0.5899854,0.0174171,0.0920695,0.4100146,RUR:       rural,ECA,ILCS,CONS,2018
0.2837508,0,0,1,0.396162118,0.7162492,ARM,Armenia,24may2020 10:18:14,ARM_2018_ILCS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9958133,0.9506419,0.6928723,,0.0493581,0.3071277,EDU:     teriary,ECA,ILCS,CONS,2018
0.503359,0,0,1,1.013526669,0.4966411,ARM,Armenia,24may2020 10:18:14,ARM_2018_ILCS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9813893,0.8651282,0.4702874,0.0186106,0.1348719,0.5297126,AGE:      0 - 14,ECA,ILCS,CONS,2018
0.3830099,0,0,1,0.620771549,0.6169901,ARM,Armenia,24may2020 10:18:14,ARM_2018_ILCS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9869357,0.9112158,0.593532,0.0130643,0.0887841,0.406468,AGE:     15 - 64,ECA,ILCS,CONS,2018
0.3468237,0,0,1,0.530980227,0.6531763,ARM,Armenia,24may2020 10:18:14,ARM_2018_ILCS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.986898,0.9318859,0.6234117,0.013102,0.0681141,0.3765883,AGE:    above 64,ECA,ILCS,CONS,2018
0.4110193,0,0,1,0.697848503,0.5889807,ARM,Armenia,24may2020 10:18:14,ARM_2018_ILCS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2018,1,0.9880248,0.9042846,0.5655921,0.0119752,0.0957154,0.4344079,RUR:       urban,ECA,ILCS,CONS,2018
0.3940695,0,0,1,0.650354290,0.6059305,AUT,Austria,24may2020 10:18:14,AUT_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.996038,0.9952196,0.9917838,,,0.0082162,GEN:        male,ECA,EU-SILC,Unknown,2017
0.4056226,0,0,1,0.682432859,0.5943773,AUT,Austria,24may2020 10:18:14,AUT_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9975759,0.9967896,0.9945153,,,0.0054847,GEN:      female,ECA,EU-SILC,Unknown,2017
0.3663279,0,0,1,0.578103249,0.6336721,AUT,Austria,24may2020 10:18:14,AUT_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9963374,0.995513,0.9934437,,0.004487,0.0065563,AGE:     15 - 64,ECA,EU-SILC,Unknown,2017
0.7302271,0,0,1,2.706821552,0.2697729,AUT,Austria,24may2020 10:18:14,AUT_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9990987,0.9990987,0.9918338,,,,AGE:      0 - 14,ECA,EU-SILC,Unknown,2017
0.3997514,0,0,1,0.665976397,0.6002486,AUT,Austria,24may2020 10:18:14,AUT_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9967065,0.996321,0.9947155,,,0.0052845,RUR:       urban,ECA,EU-SILC,Unknown,2017
0.2791115,0,0,1,0.387177074,0.7208885,AUT,Austria,24may2020 10:18:14,AUT_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9969109,0.9955956,0.9931547,,,,AGE:    above 64,ECA,EU-SILC,Unknown,2017
0.2657351,0,0,1,0.361906309,0.7342649,AUT,Austria,24may2020 10:18:14,AUT_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9956504,0.9942938,0.9929245,,,,EDU:     teriary,ECA,EU-SILC,Unknown,2017
0.4002391,0,0,1,0.667331098,0.5997609,AUT,Austria,24may2020 10:18:14,AUT_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9970015,0.9955248,0.9906696,,,0.0093304,RUR:       rural,ECA,EU-SILC,Unknown,2017
0.736138,0,0,1,,,AUT,Austria,24may2020 10:18:14,AUT_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,1,0.9887353,0.9887353,,,,EDU:     primary,ECA,EU-SILC,Unknown,2017
0.3723838,0,0,1,0.593330446,0.6276162,AUT,Austria,24may2020 10:18:14,AUT_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9966626,0.9961392,0.9934967,,,0.0065033,EDU:   secondary,ECA,EU-SILC,Unknown,2017
,0,0,1,,,AUT,Austria,24may2020 10:18:14,AUT_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,,,,,,,EDU: no eduation,ECA,EU-SILC,Unknown,2017
0.4034744,0,0,1,0.676373990,0.5965256,AZE,Azerbaijan,24may2020 10:18:14,AZE_2005_HBS_V01_M_V02_A_GMD_ALL.DTA,Upper-middle income,2005,1,1,0.9995852,0.925678,,,0.0743221,GEN:      female,ECA,HBS,CONS,2005
0.2953141,0,0,1,0.419071958,0.7046859,AZE,Azerbaijan,24may2020 10:18:14,AZE_2005_HBS_V01_M_V02_A_GMD_ALL.DTA,Upper-middle income,2005,1,1,1,0.9513056,,,0.0486944,EDU:     teriary,ECA,HBS,CONS,2005
0.3961885,0,0,1,0.656145999,0.6038115,AZE,Azerbaijan,24may2020 10:18:14,AZE_2005_HBS_V01_M_V02_A_GMD_ALL.DTA,Upper-middle income,2005,1,1,0.9996139,0.9334967,,,0.0665033,GEN:        male,ECA,HBS,CONS,2005
0.4965896,0,0,1,0.986450816,0.5034104,AZE,Azerbaijan,24may2020 10:18:14,AZE_2005_HBS_V01_M_V02_A_GMD_ALL.DTA,Upper-middle income,2005,1,1,1,0.8864161,,,,EDU: no eduation,ECA,HBS,CONS,2005
0.5436239,0,0,1,1.191175217,0.4563761,AZE,Azerbaijan,24may2020 10:18:14,AZE_2005_HBS_V01_M_V02_A_GMD_ALL.DTA,Upper-middle income,2005,1,1,0.9991452,0.8820973,,,0.1179027,RUR:       rural,ECA,HBS,CONS,2005
0.4134919,0,0,1,0.705006170,0.5865082,AZE,Azerbaijan,24may2020 10:18:14,AZE_2005_HBS_V01_M_V02_A_GMD_ALL.DTA,Upper-middle income,2005,1,1,1,0.9261832,,,0.0738168,AGE:    above 64,ECA,HBS,CONS,2005
0.2730359,0,0,1,0.375583746,0.7269641,AZE,Azerbaijan,24may2020 10:18:14,AZE_2005_HBS_V01_M_V02_A_GMD_ALL.DTA,Upper-middle income,2005,1,1,1,0.9712883,,,0.0287117,RUR:       urban,ECA,HBS,CONS,2005
0.3807722,0,0,1,0.614914576,0.6192278,AZE,Azerbaijan,24may2020 10:18:14,AZE_2005_HBS_V01_M_V02_A_GMD_ALL.DTA,Upper-middle income,2005,1,1,0.9996911,0.9356434,,,0.0643566,AGE:     15 - 64,ECA,HBS,CONS,2005
0.4499043,0,0,1,0.817865510,0.5500957,AZE,Azerbaijan,24may2020 10:18:14,AZE_2005_HBS_V01_M_V02_A_GMD_ALL.DTA,Upper-middle income,2005,1,1,0.9997666,0.92049,,,0.07951,EDU:     primary,ECA,HBS,CONS,2005
0.4493565,0,0,1,0.816057180,0.5506434,AZE,Azerbaijan,24may2020 10:18:14,AZE_2005_HBS_V01_M_V02_A_GMD_ALL.DTA,Upper-middle income,2005,1,1,0.999186,0.913097,,,0.086903,AGE:      0 - 14,ECA,HBS,CONS,2005
0.4201831,0,0,1,0.724682395,0.5798169,AZE,Azerbaijan,24may2020 10:18:14,AZE_2005_HBS_V01_M_V02_A_GMD_ALL.DTA,Upper-middle income,2005,1,1,0.9995881,0.9291628,,,0.0708372,EDU:   secondary,ECA,HBS,CONS,2005
0.1550987,1,1,1,0.183570199,0.8449013,BDI,Burundi,24may2020 10:18:14,BDI_2013_ECVMB_V01_M_V04_A_GMD_ALL.DTA,Low income,2013,1,0.580994,0.3398193,0.1396285,0.419006,0.6601807,0.8603715,EDU:   secondary,SSA,ECVMB,CONS,2013
0.4301883,1,1,1,0.754965852,0.5698116,BDI,Burundi,24may2020 10:18:14,BDI_2013_ECVMB_V01_M_V04_A_GMD_ALL.DTA,Low income,2013,1,0.2254162,0.0653831,0.0121434,0.7745838,0.9346169,0.9878566,RUR:       rural,SSA,ECVMB,CONS,2013
0.3308255,1,1,1,0.494378522,0.6691745,BDI,Burundi,24may2020 10:18:14,BDI_2013_ECVMB_V01_M_V04_A_GMD_ALL.DTA,Low income,2013,1,0.333181,0.1294006,0.0365636,0.666819,0.8705994,0.9634364,EDU:     primary,SSA,ECVMB,CONS,2013
0.3931839,1,1,1,0.647945729,0.6068161,BDI,Burundi,24may2020 10:18:14,BDI_2013_ECVMB_V01_M_V04_A_GMD_ALL.DTA,Low income,2013,1,0.2798785,0.1106948,0.0354191,0.7201214,0.8893052,0.964581,GEN:        male,SSA,ECVMB,CONS,2013
0.1260068,1,1,1,0.144173662,0.8739932,BDI,Burundi,24may2020 10:18:14,BDI_2013_ECVMB_V01_M_V04_A_GMD_ALL.DTA,Low income,2013,1,0.6945859,0.4498661,0.2044821,0.3054141,0.5501339,0.7955179,RUR:       urban,SSA,ECVMB,CONS,2013
0.4061523,1,1,1,0.683933439,0.5938477,BDI,Burundi,24may2020 10:18:14,BDI_2013_ECVMB_V01_M_V04_A_GMD_ALL.DTA,Low income,2013,1,0.264859,0.0970898,0.0274532,0.735141,0.9029102,0.9725468,GEN:      female,SSA,ECVMB,CONS,2013
,1,1,1,,0.9897995,BDI,Burundi,24may2020 10:18:14,BDI_2013_ECVMB_V01_M_V04_A_GMD_ALL.DTA,Low income,2013,1,0.9012352,0.8169171,0.5243469,,0.1830829,0.4756531,EDU:     teriary,SSA,ECVMB,CONS,2013
0.3557685,1,1,1,0.552237045,0.6442315,BDI,Burundi,24may2020 10:18:14,BDI_2013_ECVMB_V01_M_V04_A_GMD_ALL.DTA,Low income,2013,1,0.3173611,0.1343978,0.0444616,0.6826389,0.8656023,0.9555384,AGE:     15 - 64,SSA,ECVMB,CONS,2013
0.4233674,1,1,1,0.734206495,0.5766326,BDI,Burundi,24may2020 10:18:14,BDI_2013_ECVMB_V01_M_V04_A_GMD_ALL.DTA,Low income,2013,1,0.2388165,0.0745373,0.0176731,0.7611836,0.9254627,0.9823269,EDU: no eduation,SSA,ECVMB,CONS,2013
0.2799399,1,1,1,0.388772965,0.7200601,BDI,Burundi,24may2020 10:18:14,BDI_2013_ECVMB_V01_M_V04_A_GMD_ALL.DTA,Low income,2013,1,0.4136887,0.1602764,0.0565587,0.5863112,0.8397236,0.9434413,AGE:    above 64,SSA,ECVMB,CONS,2013
0.4514281,1,1,1,0.822915100,0.5485719,BDI,Burundi,24may2020 10:18:14,BDI_2013_ECVMB_V01_M_V04_A_GMD_ALL.DTA,Low income,2013,1,0.2181588,0.0692408,0.016471,0.7818413,0.9307592,0.983529,AGE:      0 - 14,SSA,ECVMB,CONS,2013
0.4812706,0,0,1,0.927787397,0.5187294,BEL,Belgium,24may2020 10:18:14,BEL_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9983178,0.9983178,0.9974735,,,,EDU:     primary,ECA,EU-SILC,Unknown,2017
0.3125339,0,0,1,0.454617247,0.687466,BEL,Belgium,24may2020 10:18:14,BEL_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9991912,0.9982776,0.9969712,,,,AGE:    above 64,ECA,EU-SILC,Unknown,2017
0.1987142,0,0,1,0.247994192,0.8012857,BEL,Belgium,24may2020 10:18:14,BEL_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9993974,0.9982096,0.9964928,,,,EDU:     teriary,ECA,EU-SILC,Unknown,2017
0.4051769,0,0,1,0.681172100,0.5948231,BEL,Belgium,24may2020 10:18:14,BEL_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,1,0.9994311,0.9979225,,,,RUR:       rural,ECA,EU-SILC,Unknown,2017
0.4257445,0,0,1,0.741385150,0.5742555,BEL,Belgium,24may2020 10:18:14,BEL_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9981151,0.9976556,0.996734,,,,EDU:   secondary,ECA,EU-SILC,Unknown,2017
0.4034201,0,0,1,0.676221408,0.5965799,BEL,Belgium,24may2020 10:18:14,BEL_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9987,0.9978331,0.9970241,,,,GEN:      female,ECA,EU-SILC,Unknown,2017
0.5941002,0,0,1,1.463662214,0.4058998,BEL,Belgium,24may2020 10:18:14,BEL_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9995517,0.9991486,0.9979899,,,,AGE:      0 - 14,ECA,EU-SILC,Unknown,2017
0.3981677,0,0,1,0.661592440,0.6018323,BEL,Belgium,24may2020 10:18:14,BEL_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9983879,0.9976504,0.9965488,,0.0023496,0.0034512,RUR:       urban,ECA,EU-SILC,Unknown,2017
0.3784842,0,0,1,0.608969555,0.6215158,BEL,Belgium,24may2020 10:18:14,BEL_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9983177,0.9976006,0.9964592,,,0.0035407,AGE:     15 - 64,ECA,EU-SILC,Unknown,2017
0.7370662,0,0,1,2.803238686,0.2629338,BEL,Belgium,24may2020 10:18:14,BEL_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9926006,0.9926006,0.9926006,,,,EDU: no eduation,ECA,EU-SILC,Unknown,2017
0.3953762,0,0,1,0.653920892,0.6046239,BEL,Belgium,24may2020 10:18:14,BEL_2018_EU-SILC_V01_M_V01_A_GMD_ALL.DTA,High income,2017,1,0.9986704,0.9981298,0.9965733,,,,GEN:        male,ECA,EU-SILC,Unknown,2017
0.2854733,0,1,1,0.399527827,0.7145267,BEN,Benin,24may2020 10:18:14,BEN_2015_EMICOV_V01_M_V03_A_GMD_ALL.DTA,Low income,2015,1,0.6251879,0.3453178,0.1489647,0.3748122,0.6546822,0.8510353,EDU:     primary,SSA,EMICOV,CONS,2015
0.3496426,0,1,1,0.537616086,0.6503574,BEN,Benin,24may2020 10:18:14,BEN_2015_EMICOV_V01_M_V03_A_GMD_ALL.DTA,Low income,2015,1,0.5582802,0.2816299,0.1202511,0.4417198,0.7183701,0.8797489,AGE:     15 - 64,SSA,EMICOV,CONS,2015
0.3994052,0,1,1,0.665016081,0.6005948,BEN,Benin,24may2020 10:18:14,BEN_2015_EMICOV_V01_M_V03_A_GMD_ALL.DTA,Low income,2015,1,0.5057222,0.2378721,0.0958679,0.4942778,0.7621279,0.9041321,GEN:        male,SSA,EMICOV,CONS,2015
0.2785853,0,1,1,0.386165267,0.7214147,BEN,Benin,24may2020 10:18:14,BEN_2015_EMICOV_V01_M_V03_A_GMD_ALL.DTA,Low income,2015,1,0.6350778,0.4067123,0.1943824,0.3649222,0.5932877,0.8056176,RUR:       urban,SSA,EMICOV,CONS,2015
0.4993175,0,1,1,0.997273721,0.5006825,BEN,Benin,24may2020 10:18:14,BEN_2015_EMICOV_V01_M_V03_A_GMD_ALL.DTA,Low income,2015,1,0.396064,0.098669,0.0115175,0.603936,0.901331,0.9884825,RUR:       rural,SSA,EMICOV,CONS,2015
0.4005768,0,1,1,0.668270431,0.5994232,BEN,Benin,24may2020 10:18:14,BEN_2015_EMICOV_V01_M_V03_A_GMD_ALL.DTA,Low income,2015,1,0.5014865,0.2367238,0.0917279,0.4985135,0.7632762,0.9082721,GEN:      female,SSA,EMICOV,CONS,2015
0.2220698,0,1,1,0.285462335,0.7779303,BEN,Benin,24may2020 10:18:14,BEN_2015_EMICOV_V01_M_V03_A_GMD_ALL.DTA,Low income,2015,1,0.7077919,0.4407895,0.2195472,0.2922081,0.5592105,0.7804528,EDU:   secondary,SSA,EMICOV,CONS,2015
0.4257388,0,1,1,0.741367865,0.5742612,BEN,Benin,24may2020 10:18:14,BEN_2015_EMICOV_V01_M_V03_A_GMD_ALL.DTA,Low income,2015,1,0.4694703,0.1801785,0.0542923,0.5305297,0.8198215,0.9457077,EDU: no eduation,SSA,EMICOV,CONS,2015
