countrycode,year,percentile_value,coverage,percentile,datatype,decile_within_percentile,countryname,region
IDN,1990,0.9284436,R,10,consumption,3,Indonesia,EAP
PAK,1990,0.9306782,N,10,consumption,3,Pakistan,SAS
BTN,1990,0.9324228,N,10,consumption,3,Bhutan,SAS
GUY,1990,0.9396433,N,10,income,3,Guyana,LAC
BLZ,1990,0.9850669,N,10,income,4,Belize,LAC
NIC,1990,0.991503,N,10,consumption,4,Nicaragua,LAC
GHA,1990,1.006396,N,10,consumption,4,Ghana,SSA
KEN,1990,1.013596,N,10,consumption,4,Kenya,SSA
BWA,1990,1.027172,N,10,consumption,4,Botswana,SSA
IND,1990,1.030565,A,10,consumption,4,India,SAS
IND,1990,1.030565,R,10,consumption,4,India,SAS
CMR,1990,1.12248,N,10,consumption,4,Cameroon,SSA
ZAF,1990,1.125353,N,10,consumption,4,South Africa,SSA
BRA,1990,1.129502,N,10,income,4,Brazil,LAC
IDN,1990,1.142655,U,10,consumption,4,Indonesia,EAP
ECU,1990,1.207314,N,10,income,4,Ecuador,LAC
IND,1990,1.220351,U,10,consumption,4,India,SAS
SLV,1990,1.271934,N,10,income,4,El Salvador,LAC
BGD,1990,1.283577,N,10,consumption,4,Bangladesh,SAS
LAO,1990,1.309481,N,10,consumption,4,Lao People's Democratic Republic,EAP
CHN,1990,1.315892,U,10,consumption,4,China,EAP
PHL,1990,1.456776,N,10,consumption,5,Philippines,EAP
VUT,1990,1.473523,N,10,consumption,5,Vanuatu,EAP
DOM,1990,1.485491,N,10,income,5,Dominican Republic,LAC
TKM,1990,1.525582,N,10,consumption,5,Turkmenistan,ECA
BOL,1990,1.565326,N,10,income,5,Bolivia,LAC
CIV,1990,1.661584,N,10,consumption,5,Cote d'Ivoire,SSA
LKA,1990,1.663394,N,10,consumption,5,Sri Lanka,SAS
COM,1990,1.683707,N,10,consumption,5,Comoros,SSA
KIR,1990,1.745001,N,10,consumption,5,Kiribati,EAP
FSM,1990,1.75306,N,10,consumption,5,Micronesia,EAP
ZWE,1990,1.817756,N,10,consumption,5,Zimbabwe,SSA
TUN,1990,1.848215,N,10,consumption,5,Tunisia,MNA
KGZ,1990,1.870109,N,10,consumption,5,Kyrgyz Republic,ECA
YEM,1990,1.879995,N,10,consumption,5,Yemen,MNA
CRI,1990,1.881213,N,10,income,5,Costa Rica,LAC
EGY,1990,1.944892,N,10,consumption,5,Egypt,MNA
THA,1990,1.955679,N,10,consumption,6,Thailand,EAP
COL,1990,2.01223,N,10,income,6,Colombia,LAC
SYR,1990,2.028193,N,10,consumption,6,Syrian Arab Republic,MNA
DJI,1990,2.033464,N,10,consumption,6,Djibouti,MNA
TUV,1990,2.063228,N,10,consumption,6,Tuvalu,EAP
MEX,1990,2.120992,N,10,consumption,6,Mexico,LAC
CHL,1990,2.126975,N,10,income,6,Chile,LAC
MNG,1990,2.149246,N,10,consumption,6,Mongolia,EAP
DZA,1990,2.227684,N,10,consumption,6,Algeria,MNA
IRN,1990,2.230438,N,10,consumption,6,Iran,MNA
WSM,1990,2.276162,N,10,consumption,6,Samoa,EAP
MUS,1990,2.347697,N,10,consumption,6,Mauritius,SSA
FJI,1990,2.383382,N,10,consumption,6,Fiji,EAP
MAR,1990,2.385105,N,10,consumption,6,Morocco,MNA
BIH,1990,2.405248,N,10,consumption,6,Bosnia and Herzegovina,ECA
GAB,1990,2.41636,N,10,consumption,6,Gabon,SSA
JAM,1990,2.428145,N,10,consumption,6,Jamaica,LAC
VEN,1990,2.544762,N,10,income,7,Venezuela,LAC
TON,1990,2.588844,N,10,consumption,7,Tonga,EAP
ARM,1990,2.650603,N,10,income,7,Armenia,ECA
KAZ,1990,2.701196,N,10,income,7,Kazakhstan,ECA
PER,1990,2.720739,N,10,consumption,7,Peru,LAC
IRQ,1990,2.78527,N,10,consumption,7,Iraq,MNA
RUS,1990,2.964795,N,10,consumption,7,Russian Federation,ECA
JOR,1990,2.995441,N,10,consumption,7,Jordan,MNA
ALB,1990,3.007693,N,10,consumption,7,Albania,ECA
TUR,1990,3.117232,N,10,consumption,7,Turkey,ECA
TJK,1990,3.144198,N,10,consumption,7,Tajikistan,ECA
PSE,1990,3.152036,N,10,consumption,7,West Bank and Gaza,MNA
MYS,1990,3.174076,N,10,income,7,Malaysia,EAP
MKD,1990,3.175588,N,10,consumption,7,North Macedonia,ECA
LTU,1990,3.397223,N,10,income,7,Lithuania,ECA
TTO,1990,3.533587,N,10,income,7,Trinidad and Tobago,LAC
UKR,1990,3.691125,N,10,consumption,7,Ukraine,ECA
MDA,1990,4.079206,N,10,consumption,8,Moldova,ECA
LBN,1990,4.209739,N,10,consumption,8,Lebanon,MNA
SYC,1990,4.310279,N,10,consumption,8,Seychelles,SSA
PRY,1990,4.371359,N,10,income,8,Paraguay,LAC
ARG,1990,4.502021,U,10,income,8,Argentina,LAC
BLR,1990,4.502523,N,10,income,8,Belarus,ECA
HUN,1990,4.965418,N,10,income,8,Hungary,ECA
EST,1990,5.267159,N,10,income,8,Estonia,ECA
URY,1990,5.391465,N,10,income,8,Uruguay,LAC
AZE,1990,5.544133,N,10,consumption,8,Azerbaijan,ECA
PRT,1990,6.656688,N,10,income,8,Portugal,OHI
KOR,1990,6.87813,N,10,income,8,Korea,OHI
LVA,1990,7.130362,N,10,income,8,Latvia,ECA
GRC,1990,7.277056,N,10,income,8,Greece,OHI
GEO,1990,7.344165,N,10,consumption,8,Georgia,ECA
ISR,1990,7.376767,N,10,income,8,Israel,OHI
ROU,1990,7.553078,N,10,income,9,Romania,ECA
POL,1990,7.9245,N,10,income,9,Poland,ECA
MNE,1990,8.73553,N,10,consumption,9,Montenegro,ECA
MLT,1990,8.759781,N,10,income,9,Malta,OHI
IRL,1990,8.864487,N,10,income,9,Ireland,OHI
ESP,1990,9.235468,N,10,income,9,Spain,OHI
SRB,1990,9.512972,N,10,consumption,9,Serbia,ECA
HRV,1990,9.681079,N,10,income,9,Croatia,ECA
CYP,1990,10.13,N,10,income,9,Cyprus,OHI
CZE,1990,11.30879,N,10,income,9,Czech Republic,ECA
JPN,1990,11.32237,N,10,income,9,Japan,OHI
SVK,1990,11.33543,N,10,income,9,Slovak Republic,ECA
GBR,1990,12.24172,N,10,income,9,United Kingdom,OHI
BGR,1990,13.18565,N,10,consumption,9,Bulgaria,ECA
ITA,1990,13.32917,N,10,income,9,Italy,OHI
SVN,1990,14.46761,N,10,income,9,Slovenia,ECA
AUS,1990,14.75154,N,10,income,9,Australia,OHI
TWN,1990,15.03553,N,10,income,10,,
FRA,1990,15.58116,N,10,income,10,France,OHI
USA,1990,16.57347,N,10,income,10,United States,OHI
BEL,1990,16.96678,N,10,income,10,Belgium,OHI
SWE,1990,17.34011,N,10,income,10,Sweden,OHI
CAN,1990,17.77724,N,10,income,10,Canada,OHI
ISL,1990,18.04259,N,10,income,10,Iceland,OHI
NOR,1990,18.76849,N,10,income,10,Norway,OHI
NLD,1990,19.43719,N,10,income,10,Netherlands,OHI
FIN,1990,19.69679,N,10,income,10,Finland,OHI
DEU,1990,20.32897,N,10,income,10,Germany,OHI
DNK,1990,21.87532,N,10,income,10,Denmark,OHI
LUX,1990,23.92968,N,10,income,10,Luxembourg,OHI
AUT,1990,24.27378,N,10,income,10,Austria,OHI
CHE,1990,29.83186,N,10,income,10,Switzerland,OHI
ARE,1990,40.55001,N,10,income,10,,
SLE,1990,0.00328176,N,20,consumption,1,Sierra Leone,SSA
GIN,1990,0.2171253,N,20,consumption,1,Guinea,SSA
CAF,1990,0.2211242,N,20,consumption,1,Central African Republic,SSA
SWZ,1990,0.3025433,N,20,consumption,1,Eswatini,SSA
ZMB,1990,0.337039,N,20,consumption,1,Zambia,SSA
MLI,1990,0.3753814,N,20,consumption,1,Mali,SSA
MOZ,1990,0.3839712,N,20,consumption,1,Mozambique,SSA
MMR,1990,0.4319664,N,20,consumption,1,Myanmar,EAP
BFA,1990,0.4698601,N,20,consumption,1,Burkina Faso,SSA
SEN,1990,0.5419272,N,20,consumption,1,Senegal,SSA
GMB,1990,0.634035,N,20,consumption,1,Gambia,SSA
NAM,1990,0.6552142,N,20,income,1,Namibia,SSA
RWA,1990,0.6664291,N,20,consumption,1,Rwanda,SSA
PNG,1990,0.672007,N,20,consumption,1,Papua New Guinea,EAP
BDI,1990,0.6907387,N,20,consumption,1,Burundi,SSA
COD,1990,0.6935582,N,20,consumption,1,Congo,SSA
HTI,1990,0.7177556,N,20,income,2,Haiti,LAC
GNB,1990,0.7583413,N,20,consumption,2,Guinea-Bissau,SSA
TCD,1990,0.7737495,N,20,consumption,2,Chad,SSA
MWI,1990,0.7907419,N,20,consumption,2,Malawi,SSA
MDG,1990,0.7952401,N,20,consumption,2,Madagascar,SSA
UGA,1990,0.8414968,N,20,consumption,2,Uganda,SSA
LSO,1990,0.8491991,N,20,consumption,2,Lesotho,SSA
TZA,1990,0.8631032,N,20,consumption,2,Tanzania,SSA
NER,1990,0.8635727,N,20,consumption,2,Niger,SSA
HND,1990,0.8676165,N,20,income,2,Honduras,LAC
CPV,1990,0.8738085,N,20,consumption,2,Cabo Verde,SSA
NPL,1990,0.8741388,N,20,consumption,2,Nepal,SAS
CHN,1990,0.8868729,A,20,consumption,2,China,EAP
CHN,1990,0.8868729,R,20,consumption,2,China,EAP
ETH,1990,0.9184968,N,20,consumption,2,Ethiopia,SSA
COG,1990,0.9944155,N,20,consumption,2,Congo,SSA
NGA,1990,1.002523,N,20,consumption,2,Nigeria,SSA
BEN,1990,1.005494,N,20,consumption,3,Benin,SSA
GTM,1990,1.029285,N,20,income,3,Guatemala,LAC
VNM,1990,1.048197,N,20,consumption,3,Vietnam,EAP
MRT,1990,1.051284,N,20,consumption,3,Mauritania,SSA
LBR,1990,1.094056,N,20,consumption,3,Liberia,SSA
SDN,1990,1.105663,N,20,consumption,3,Sudan,SSA
BTN,1990,1.122,N,20,consumption,3,Bhutan,SAS
TGO,1990,1.131143,N,20,consumption,3,Togo,SSA
PAK,1990,1.147304,N,20,consumption,3,Pakistan,SAS
IDN,1990,1.15043,A,20,consumption,3,Indonesia,EAP
IDN,1990,1.15043,R,20,consumption,3,Indonesia,EAP
PAN,1990,1.203962,N,20,income,3,Panama,LAC
LCA,1990,1.229281,N,20,income,3,St. Lucia,LAC
IND,1990,1.231916,A,20,consumption,3,India,SAS
IND,1990,1.231916,R,20,consumption,3,India,SAS
SLB,1990,1.259114,N,20,consumption,3,Solomon Islands,EAP
GUY,1990,1.262368,N,20,income,3,Guyana,LAC
GHA,1990,1.30567,N,20,consumption,4,Ghana,SSA
NIC,1990,1.363073,N,20,consumption,4,Nicaragua,LAC
AGO,1990,1.377548,N,20,consumption,4,Angola,SSA
IDN,1990,1.429644,U,20,consumption,4,Indonesia,EAP
UZB,1990,1.45654,N,20,consumption,4,Uzbekistan,ECA
KEN,1990,1.466304,N,20,consumption,4,Kenya,SSA
BWA,1990,1.46748,N,20,consumption,4,Botswana,SSA
CMR,1990,1.49415,N,20,consumption,4,Cameroon,SSA
IND,1990,1.498195,U,20,consumption,4,India,SAS
BLZ,1990,1.500577,N,20,income,4,Belize,LAC
ZAF,1990,1.51075,N,20,consumption,4,South Africa,SSA
SUR,1990,1.537356,N,20,income,4,Suriname,LAC
BGD,1990,1.560633,N,20,consumption,4,Bangladesh,SAS
LAO,1990,1.570982,N,20,consumption,4,Lao People's Democratic Republic,EAP
CHN,1990,1.59972,U,20,consumption,4,China,EAP
BRA,1990,1.792562,N,20,income,4,Brazil,LAC
PHL,1990,1.83191,N,20,consumption,4,Philippines,EAP
VUT,1990,1.925977,N,20,consumption,5,Vanuatu,EAP
TKM,1990,2.014386,N,20,consumption,5,Turkmenistan,ECA
LKA,1990,2.056905,N,20,consumption,5,Sri Lanka,SAS
ECU,1990,2.062812,N,20,income,5,Ecuador,LAC
DOM,1990,2.108491,N,20,income,5,Dominican Republic,LAC
BOL,1990,2.153941,N,20,income,5,Bolivia,LAC
CIV,1990,2.219781,N,20,consumption,5,Cote d'Ivoire,SSA
EGY,1990,2.349971,N,20,consumption,5,Egypt,MNA
FSM,1990,2.369652,N,20,consumption,5,Micronesia,EAP
COM,1990,2.375435,N,20,consumption,5,Comoros,SSA
ZWE,1990,2.393054,N,20,consumption,5,Zimbabwe,SSA
KIR,1990,2.417422,N,20,consumption,5,Kiribati,EAP
THA,1990,2.450828,N,20,consumption,5,Thailand,EAP
YEM,1990,2.480133,N,20,consumption,5,Yemen,MNA
TUN,1990,2.513345,N,20,consumption,5,Tunisia,MNA
SYR,1990,2.535625,N,20,consumption,5,Syrian Arab Republic,MNA
SLV,1990,2.607819,N,20,income,6,El Salvador,LAC
TUV,1990,2.691659,N,20,consumption,6,Tuvalu,EAP
DJI,1990,2.730941,N,20,consumption,6,Djibouti,MNA
KGZ,1990,2.77781,N,20,consumption,6,Kyrgyz Republic,ECA
MNG,1990,2.830387,N,20,consumption,6,Mongolia,EAP
COL,1990,2.891233,N,20,income,6,Colombia,LAC
DZA,1990,2.950896,N,20,consumption,6,Algeria,MNA
BIH,1990,2.951665,N,20,consumption,6,Bosnia and Herzegovina,ECA
MUS,1990,2.961664,N,20,consumption,6,Mauritius,SSA
CHL,1990,3.000097,N,20,income,6,Chile,LAC
MEX,1990,3.024378,N,20,consumption,6,Mexico,LAC
WSM,1990,3.082589,N,20,consumption,6,Samoa,EAP
FJI,1990,3.087998,N,20,consumption,6,Fiji,EAP
IRN,1990,3.117525,N,20,consumption,6,Iran,MNA
JAM,1990,3.177061,N,20,consumption,6,Jamaica,LAC
MAR,1990,3.215808,N,20,consumption,6,Morocco,MNA
GAB,1990,3.233575,N,20,consumption,6,Gabon,SSA
CRI,1990,3.24941,N,20,income,7,Costa Rica,LAC
TON,1990,3.350829,N,20,consumption,7,Tonga,EAP
IRQ,1990,3.372785,N,20,consumption,7,Iraq,MNA
ARM,1990,3.564201,N,20,income,7,Armenia,ECA
KAZ,1990,3.591506,N,20,income,7,Kazakhstan,ECA
JOR,1990,3.792014,N,20,consumption,7,Jordan,MNA
ALB,1990,3.819185,N,20,consumption,7,Albania,ECA
PER,1990,3.903054,N,20,consumption,7,Peru,LAC
PSE,1990,4.015548,N,20,consumption,7,West Bank and Gaza,MNA
TUR,1990,4.071023,N,20,consumption,7,Turkey,ECA
TJK,1990,4.113073,N,20,consumption,7,Tajikistan,ECA
VEN,1990,4.193756,N,20,income,7,Venezuela,LAC
MKD,1990,4.223884,N,20,consumption,7,North Macedonia,ECA
LTU,1990,4.316157,N,20,income,7,Lithuania,ECA
MYS,1990,4.317249,N,20,income,7,Malaysia,EAP
RUS,1990,4.392107,N,20,consumption,7,Russian Federation,ECA
UKR,1990,4.889889,N,20,consumption,7,Ukraine,ECA
TTO,1990,5.202646,N,20,income,8,Trinidad and Tobago,LAC
LBN,1990,5.494226,N,20,consumption,8,Lebanon,MNA
BLR,1990,5.532901,N,20,income,8,Belarus,ECA
MDA,1990,5.594854,N,20,consumption,8,Moldova,ECA
SYC,1990,5.795623,N,20,consumption,8,Seychelles,SSA
HUN,1990,5.842759,N,20,income,8,Hungary,ECA
PRY,1990,5.930328,N,20,income,8,Paraguay,LAC
ARG,1990,6.707161,U,20,income,8,Argentina,LAC
EST,1990,6.923859,N,20,income,8,Estonia,ECA
AZE,1990,7.225356,N,20,consumption,8,Azerbaijan,ECA
URY,1990,7.525142,N,20,income,8,Uruguay,LAC
LVA,1990,8.671679,N,20,income,8,Latvia,ECA
ROU,1990,9.266492,N,20,income,8,Romania,ECA
PRT,1990,9.357431,N,20,income,8,Portugal,OHI
KOR,1990,9.434355,N,20,income,8,Korea,OHI
POL,1990,9.76119,N,20,income,8,Poland,ECA
ISR,1990,9.846744,N,20,income,8,Israel,OHI
GEO,1990,10.53146,N,20,consumption,9,Georgia,ECA
GRC,1990,10.64535,N,20,income,9,Greece,OHI
MNE,1990,10.98332,N,20,consumption,9,Montenegro,ECA
MLT,1990,11.15647,N,20,income,9,Malta,OHI
IRL,1990,11.32424,N,20,income,9,Ireland,OHI
SRB,1990,12.09232,N,20,consumption,9,Serbia,ECA
HRV,1990,12.09397,N,20,income,9,Croatia,ECA
ESP,1990,12.12992,N,20,income,9,Spain,OHI
CYP,1990,12.23462,N,20,income,9,Cyprus,OHI
CZE,1990,13.17787,N,20,income,9,Czech Republic,ECA
SVK,1990,13.27677,N,20,income,9,Slovak Republic,ECA
BGR,1990,15.71854,N,20,consumption,9,Bulgaria,ECA
JPN,1990,16.0637,N,20,income,9,Japan,OHI
GBR,1990,16.24016,N,20,income,9,United Kingdom,OHI
SVN,1990,17.14401,N,20,income,9,Slovenia,ECA
ITA,1990,17.28927,N,20,income,9,Italy,OHI
TWN,1990,18.34344,N,20,income,9,,
AUS,1990,19.60003,N,20,income,10,Australia,OHI
FRA,1990,19.9696,N,20,income,10,France,OHI
BEL,1990,20.34648,N,20,income,10,Belgium,OHI
SWE,1990,21.08525,N,20,income,10,Sweden,OHI
NOR,1990,22.52491,N,20,income,10,Norway,OHI
ISL,1990,22.64871,N,20,income,10,Iceland,OHI
FIN,1990,23.54955,N,20,income,10,Finland,OHI
NLD,1990,23.59044,N,20,income,10,Netherlands,OHI
CAN,1990,24.39355,N,20,income,10,Canada,OHI
DEU,1990,24.39954,N,20,income,10,Germany,OHI
USA,1990,24.77355,N,20,income,10,United States,OHI
DNK,1990,27.064330000000002,N,20,income,10,Denmark,OHI
LUX,1990,28.60587,N,20,income,10,Luxembourg,OHI
AUT,1990,29.34831,N,20,income,10,Austria,OHI
CHE,1990,36.26644,N,20,income,10,Switzerland,OHI
ARE,1990,59.59226,N,20,income,10,,
SLE,1990,0.151159,N,30,consumption,1,Sierra Leone,SSA
GIN,1990,0.321037,N,30,consumption,1,Guinea,SSA
CAF,1990,0.3288086,N,30,consumption,1,Central African Republic,SSA
SWZ,1990,0.4268008,N,30,consumption,1,Eswatini,SSA
MLI,1990,0.4602924,N,30,consumption,1,Mali,SSA
MOZ,1990,0.4837396,N,30,consumption,1,Mozambique,SSA
MMR,1990,0.5065626,N,30,consumption,1,Myanmar,EAP
BFA,1990,0.5575379,N,30,consumption,1,Burkina Faso,SSA
ZMB,1990,0.6332292,N,30,consumption,1,Zambia,SSA
SEN,1990,0.7340668,N,30,consumption,1,Senegal,SSA
RWA,1990,0.8127869,N,30,consumption,1,Rwanda,SSA
BDI,1990,0.8212572,N,30,consumption,1,Burundi,SSA
GMB,1990,0.8461082,N,30,consumption,1,Gambia,SSA
PNG,1990,0.8631747,N,30,consumption,1,Papua New Guinea,EAP
COD,1990,0.8637843,N,30,consumption,1,Congo,SSA
NAM,1990,0.9008175,N,30,income,1,Namibia,SSA
MWI,1990,0.9318455,N,30,consumption,2,Malawi,SSA
TCD,1990,0.9503659,N,30,consumption,2,Chad,SSA
HTI,1990,1.00284,N,30,income,2,Haiti,LAC
MDG,1990,1.021521,N,30,consumption,2,Madagascar,SSA
NER,1990,1.023417,N,30,consumption,2,Niger,SSA
NPL,1990,1.026893,N,30,consumption,2,Nepal,SAS
CHN,1990,1.034891,A,30,consumption,2,China,EAP
CHN,1990,1.034891,R,30,consumption,2,China,EAP
TZA,1990,1.042545,N,30,consumption,2,Tanzania,SSA
ETH,1990,1.086148,N,30,consumption,2,Ethiopia,SSA
UGA,1990,1.100139,N,30,consumption,2,Uganda,SSA
CPV,1990,1.119137,N,30,consumption,2,Cabo Verde,SSA
GNB,1990,1.167063,N,30,consumption,2,Guinea-Bissau,SSA
BEN,1990,1.184127,N,30,consumption,2,Benin,SSA
LSO,1990,1.200976,N,30,consumption,2,Lesotho,SSA
VNM,1990,1.222208,N,30,consumption,2,Vietnam,EAP
HND,1990,1.244818,N,30,income,2,Honduras,LAC
COG,1990,1.272715,N,30,consumption,3,Congo,SSA
NGA,1990,1.274586,N,30,consumption,3,Nigeria,SSA
IDN,1990,1.320414,A,30,consumption,3,Indonesia,EAP
IDN,1990,1.320414,R,30,consumption,3,Indonesia,EAP
LBR,1990,1.323831,N,30,consumption,3,Liberia,SSA
PAK,1990,1.336184,N,30,consumption,3,Pakistan,SAS
TGO,1990,1.350614,N,30,consumption,3,Togo,SSA
BTN,1990,1.356763,N,30,consumption,3,Bhutan,SAS
SDN,1990,1.364684,N,30,consumption,3,Sudan,SSA
IND,1990,1.412192,A,30,consumption,3,India,SAS
IND,1990,1.412192,R,30,consumption,3,India,SAS
MRT,1990,1.440128,N,30,consumption,3,Mauritania,SSA
GTM,1990,1.536692,N,30,income,3,Guatemala,LAC
SLB,1990,1.58184,N,30,consumption,3,Solomon Islands,EAP
GHA,1990,1.586524,N,30,consumption,3,Ghana,SSA
LCA,1990,1.617909,N,30,income,3,St. Lucia,LAC
GUY,1990,1.657684,N,30,income,3,Guyana,LAC
IDN,1990,1.701268,U,30,consumption,4,Indonesia,EAP
CMR,1990,1.703734,N,30,consumption,4,Cameroon,SSA
IND,1990,1.778053,U,30,consumption,4,India,SAS
NIC,1990,1.780287,N,30,consumption,4,Nicaragua,LAC
BGD,1990,1.805186,N,30,consumption,4,Bangladesh,SAS
LAO,1990,1.808308,N,30,consumption,4,Lao People's Democratic Republic,EAP
CHN,1990,1.850474,U,30,consumption,4,China,EAP
KEN,1990,1.933429,N,30,consumption,4,Kenya,SSA
UZB,1990,1.954485,N,30,consumption,4,Uzbekistan,ECA
BLZ,1990,1.959566,N,30,income,4,Belize,LAC
AGO,1990,1.963782,N,30,consumption,4,Angola,SSA
BWA,1990,1.965999,N,30,consumption,4,Botswana,SSA
ZAF,1990,2.002542,N,30,consumption,4,South Africa,SSA
PHL,1990,2.190641,N,30,consumption,4,Philippines,EAP
PAN,1990,2.303668,N,30,income,4,Panama,LAC
VUT,1990,2.347319,N,30,consumption,4,Vanuatu,EAP
SUR,1990,2.417547,N,30,income,4,Suriname,LAC
LKA,1990,2.435566,N,30,consumption,5,Sri Lanka,SAS
TKM,1990,2.504036,N,30,consumption,5,Turkmenistan,ECA
BRA,1990,2.510005,N,30,income,5,Brazil,LAC
CIV,1990,2.657151,N,30,consumption,5,Cote d'Ivoire,SSA
BOL,1990,2.707339,N,30,income,5,Bolivia,LAC
ECU,1990,2.731664,N,30,income,5,Ecuador,LAC
EGY,1990,2.753703,N,30,consumption,5,Egypt,MNA
DOM,1990,2.791492,N,30,income,5,Dominican Republic,LAC
THA,1990,2.891596,N,30,consumption,5,Thailand,EAP
FSM,1990,2.943218,N,30,consumption,5,Micronesia,EAP
SYR,1990,2.976944,N,30,consumption,5,Syrian Arab Republic,MNA
KIR,1990,2.981641,N,30,consumption,5,Kiribati,EAP
ZWE,1990,2.985462,N,30,consumption,5,Zimbabwe,SSA
COM,1990,2.987785,N,30,consumption,5,Comoros,SSA
YEM,1990,3.011107,N,30,consumption,5,Yemen,MNA
TUN,1990,3.165222,N,30,consumption,5,Tunisia,MNA
TUV,1990,3.333688,N,30,consumption,6,Tuvalu,EAP
DJI,1990,3.395066,N,30,consumption,6,Djibouti,MNA
BIH,1990,3.431337,N,30,consumption,6,Bosnia and Herzegovina,ECA
MNG,1990,3.48015,N,30,consumption,6,Mongolia,EAP
MUS,1990,3.491627,N,30,consumption,6,Mauritius,SSA
KGZ,1990,3.628843,N,30,consumption,6,Kyrgyz Republic,ECA
DZA,1990,3.629433,N,30,consumption,6,Algeria,MNA
FJI,1990,3.751875,N,30,consumption,6,Fiji,EAP
COL,1990,3.791328,N,30,income,6,Colombia,LAC
WSM,1990,3.791672,N,30,consumption,6,Samoa,EAP
SLV,1990,3.85352,N,30,income,6,El Salvador,LAC
CHL,1990,3.880161,N,30,income,6,Chile,LAC
JAM,1990,3.882029,N,30,consumption,6,Jamaica,LAC
IRQ,1990,3.899979,N,30,consumption,6,Iraq,MNA
MEX,1990,3.945467,N,30,consumption,6,Mexico,LAC
MAR,1990,3.96786,N,30,consumption,6,Morocco,MNA
IRN,1990,3.99974,N,30,consumption,6,Iran,MNA
GAB,1990,4.008385,N,30,consumption,7,Gabon,SSA
TON,1990,4.236672,N,30,consumption,7,Tonga,EAP
KAZ,1990,4.401886,N,30,income,7,Kazakhstan,ECA
ALB,1990,4.407214,N,30,consumption,7,Albania,ECA
CRI,1990,4.453159,N,30,income,7,Costa Rica,LAC
ARM,1990,4.476334,N,30,income,7,Armenia,ECA
JOR,1990,4.60072,N,30,consumption,7,Jordan,MNA
PSE,1990,4.735623,N,30,consumption,7,West Bank and Gaza,MNA
TJK,1990,4.793904,N,30,consumption,7,Tajikistan,ECA
PER,1990,4.976053,N,30,consumption,7,Peru,LAC
TUR,1990,4.998393,N,30,consumption,7,Turkey,ECA
MKD,1990,5.062202,N,30,consumption,7,North Macedonia,ECA
LTU,1990,5.131223,N,30,income,7,Lithuania,ECA
MYS,1990,5.48767,N,30,income,7,Malaysia,EAP
VEN,1990,5.637663,N,30,income,7,Venezuela,LAC
